cust_id	Inv_1M_Bef	satis_survey	cust_age	cust_tenure	tottrans	months_since_survey	Inv_3M_Aft	Inv_Chg	categ
351327	97	2	36.008213552	3.6605065024	8	3	1627	1530	bad
353386	12452	2	26.247775496	0.9363449692	3	3	13479	1027	bad
354053	2244	2	18.579055441	1.3689253936	50	3	3132	888	bad
354340	118	2	24.580424367	1.3333333333	30	3	1326	1208	bad
357762	5063	1	37.820670773	2.0588637919	11	3	7640	2577	bad
360796	4702	4	35.460643395	0.5119780972	59	3	2072	-2630	good
360841	595	4	27.203285421	0.9801505818	57	3	250	-345	good
361633	39160	5	28.605065024	1.0102669405	34	3	31511	-7649	good
365111	47511	1	57.70294319	7.4442162902	33	3	50566	3055	bad
368561	4637	4	21.577002053	2.3353867214	111	3	3659	-978	good
369058	230456	4	80.005475702	2.6776180698	21	3	218338	-12118	good
369949	2668	5	20.224503765	2.0643394935	38	3	5668	3000	good
370143	19631	1	33.35523614	5.8480492813	122	3	10357	-9274	bad
372664	2445	4	42.015058179	0.2792607803	62	3	8871	6426	good
374791	62824	5	37.686516085	3.5044490075	19	3	83879	21055	good
375773	6780	1	59.364818617	3.9123887748	26	3	4609	-2171	bad
376236	62943	5	19.509924709	1.0896646133	35	3	45684	-17259	good
377005	1554	1	33.609856263	5.8726899384	112	3	3613	2059	bad
377320	8915	5	22.532511978	2.288843258	137	3	870	-8045	good
378237	2716	2	22.447638604	4.4681724846	98	3	3796	1080	bad
379809	8466	2	79.307323751	3.5017111567	155	3	7655	-811	bad
380499	18085	2	54.600958248	0.7145790554	33	3	16433	-1652	bad
380587	5714	5	26.39835729	4.0739219713	16	3	8775	3061	good
380626	4958	4	20.227241615	1.7467488022	75	3	5056	98	good
381805	1832	5	18.532511978	1.1088295688	55	3	2969	1137	good
384574	37745	4	61.018480493	1.711156742	52	3	49735	11990	good
385565	36623	2	68.457221081	0.2245037645	7	2	0	-36623	bad
386973	4032	5	36.331279945	0.2628336756	16	3	1952	-2080	good
387247	1880	2	31.597535934	1.1800136893	71	3	4902	3022	bad
390145	12174	4	48.10403833	1.0239561944	9	3	6958	-5216	good
393064	30672	1	46.436687201	0.3230663929	9	3	24201	-6471	bad
394937	117977	1	25.169062286	2.1464750171	97	3	117257	-720	bad
396033	1321	1	24.410677618	1.4428473648	111	3	3920	2599	bad
396353	11070	2	36.511978097	0.9555099247	15	3	17606	6536	bad
396727	967	2	21.73853525	2.0479123888	62	3	61481	60514	bad
397481	1263	2	55.06091718	1.711156742	35	3	512	-751	bad
